"","Date_Time","SJU_NO","CAP_NO","EMA_NO","FEO_NO","SJU_NO2","CAP_NO2","EMA_NO2","FEO_NO2","EPG_NO2","JOV_NO2","COR_NO2","SJU_NOx","CAP_NOx","EMA_NOx","FEO_NOx","SJU_CO","CAP_CO","EMA_CO","FEO_CO","EPG_CO","JOV_CO","COR_CO","SJU_O3","CAP_O3","EMA_O3","FEO_O3","EPG_O3","JOV_O3","COR_O3","SJU_SO2","CAP_SO2","EMA_SO2","FEO_SO2","EPG_SO2","JOV_SO2","COR_SO2","SJU_PM25","CAP_PM25","EMA_PM25","FEO_PM25","EPG_PM25","JOV_PM25","COR_PM25","SJU_HR","CAP_HR","EMA_HR","FEO_HR","EPG_HR","JOV_HR","COR_HR","SJU_TMP","CAP_TMP","EMA_TMP","FEO_TMP","EPG_TMP","JOV_TMP","COR_TMP","SJU_DV","CAP_DV","EMA_DV","FEO_DV","EPG_DV","JOV_DV","COR_DV","SJU_VV","CAP_VV","EMA_VV","FEO_VV","EPG_VV","JOV_VV","COR_VV","SJU_PB","CAP_PB","EMA_PB","FEO_PB","EPG_PB","JOV_PB","COR_PB","SJU_RS","CAP_RS","EMA_RS","FEO_RS","SJU_PP","CAP_PP","EMA_PP","FEO_PP","CAP_PM10","CAP_NO2I","COR_NO2I","EPG_NO2I","FEO_NO2I","JOV_NO2I","SJU_NO2I","CAP_COI","COR_COI","EPG_COI","FEO_COI","JOV_COI","SJU_COI","CAP_O3I","COR_O3I","EPG_O3I","FEO_O3I","JOV_O3I","SJU_O3I","CAP_SO2I","COR_SO2I","EPG_SO2I","FEO_SO2I","JOV_SO2I","SJU_SO2I","CAP_PM25I","COR_PM25I","EPG_PM25I","FEO_PM25I","JOV_PM25I","SJU_PM25I","CAP_PM10I","COR_PM10I","EPG_PM10I","FEO_PM10I","JOV_PM10I","SJU_PM10I"
"1","2024-03-22 00:00:00"," 5.22"," 2.91",NA," 1.42","12.95"," 9.90",NA,"10.52","15.45","13.93","16.46","18.11","12.81",NA,"11.92","0.68","1.94",NA,"1.67","1.41","0.90","0.55","28.54","28.15",NA,"27.04","19.66","19.08","15.89"," 2.78"," 5.81",NA," 2.97"," 2.91"," 4.71","1.91","17.39",NA,NA,"21.10","25.73",NA,"30.36",NA,NA,NA,"30.62","36.55","34.64","39.39",NA,NA,NA,"22.04","22.01","21.99","19.87",NA,"0",NA,"284.64","244.81","180.2","156.22",NA,"0",NA,"1.98",NA,"3.27","0.97",NA,NA,NA,"816.77","817.45","815.52","615.37","0.02",NA,NA,NA,NA,NA,NA,"0"," 75.2","0.010","0.016","0.015","0.011","0.014","0.000","1.92","0.47","1.38","1.66","0.88","0.76","0.028","0.016","0.020","0.027","0.019","0.000","0.011","0.002","0.005","0.004","0.005","0.005","0","28","27","19","0","19"," 90","0","0","0","0","0"
"2","2024-03-22 01:00:00"," 4.10"," 2.65",NA," 1.18"," 9.42"," 8.06",NA," 7.83","14.62","17.46","19.73","13.48","10.71",NA," 8.98","0.65","1.93",NA,"1.61","1.43","0.92","0.53","29.26","30.43",NA,"30.06","19.83","14.85","11.99"," 2.83"," 5.57",NA," 2.94"," 2.78"," 4.66","1.62","24.83",NA,NA,"16.77","29.20",NA,"27.92",NA,NA,NA,"31.49","37.41","37.47","43.84",NA,NA,NA,"21.26","21.34","20.87","18.34",NA,"0",NA,"288.70","254.79","167.9","153.18",NA,"0",NA,"2.12",NA,"2.51","0.98",NA,NA,NA,"816.80","817.45","815.58","615.09","0.03",NA,NA,NA,NA,NA,NA,"0"," 54.5","0.008","0.020","0.015","0.008","0.017","0.000","1.93","0.48","1.40","1.68","0.90","0.75","0.030","0.012","0.020","0.030","0.015","0.000","0.010","0.002","0.005","0.004","0.005","0.005","0","28","28","18","0","18"," 72","0","0","0","0","0"
"3","2024-03-22 02:00:00"," 4.67"," 2.91",NA," 1.13","11.48","10.35",NA," 8.10","13.15","14.17","16.00","16.10","13.26",NA," 9.19","0.66","1.91",NA,"1.67","1.37","0.86","0.49","26.27","24.48",NA,"25.41","18.68","16.01","14.22"," 2.38"," 9.39",NA," 7.00"," 3.23"," 4.62","1.66","21.77",NA,NA,"14.03","22.10",NA,"25.24",NA,NA,NA,"32.30","39.31","39.39","45.27",NA,NA,NA,"20.39","20.12","19.91","17.34",NA,"0",NA,"291.76","237.16","167.8","156.06",NA,"0",NA,"1.90",NA,"3.10","0.92",NA,NA,NA,"816.47","817.17","815.28","615.34","0.03",NA,NA,NA,NA,NA,NA,"0"," 41.2","0.010","0.016","0.013","0.008","0.014","0.000","1.94","0.50","1.41","1.69","0.90","0.74","0.024","0.014","0.019","0.025","0.016","0.000","0.010","0.002","0.005","0.004","0.005","0.004","0","27","25","16","0","22"," 57","0","0","0","0","0"
"4","2024-03-22 03:00:00"," 6.38"," 3.15",NA," 1.17","20.83","13.39",NA," 8.59","18.86","14.41","16.34","27.13","16.53",NA," 9.72","0.67","1.92",NA,"1.67","1.38","0.84","0.48","16.17","18.50",NA,"22.42","11.44","14.37","12.48"," 2.41","12.68",NA," 7.16"," 4.37"," 4.66","1.73","17.61",NA,NA,"17.55","28.42",NA,"24.69",NA,NA,NA,"34.53","42.67","40.84","47.23",NA,NA,NA,"18.55","18.37","18.96","16.41",NA,"0",NA,"289.43","240.62","164.7","161.73",NA,"0",NA,"1.65",NA,"3.23","1.26",NA,NA,NA,"816.07","816.87","814.81","615.82","0.03",NA,NA,NA,NA,NA,NA,"0"," 55.1","0.013","0.016","0.019","0.009","0.014","0.000","1.95","0.51","1.41","1.70","0.90","0.71","0.018","0.012","0.011","0.022","0.014","0.000","0.010","0.002","0.005","0.005","0.005","0.004","0","26","27","17","0","22"," 56","0","0","0","0","0"
"5","2024-03-22 04:00:00"," 3.21"," 2.50",NA," 1.31","11.58","11.11",NA," 8.88","11.55","14.12","13.70","14.75","13.62",NA,"10.16","0.61","1.91",NA,"1.60","1.33","0.82","0.43","24.82","20.08",NA,"23.26","17.43","15.27","14.92"," 2.34"," 9.49",NA," 4.42"," 3.59"," 4.61","1.68","18.04",NA,NA,"24.13","22.06",NA,"20.78",NA,NA,NA,"33.81","39.68","38.54","43.97",NA,NA,NA,"17.30","17.78","18.06","15.63",NA,"0",NA,"294.19","253.15","179.9","159.20",NA,"0",NA,"1.46",NA,"1.95","1.47",NA,NA,NA,"815.85","816.62","814.65","615.62","0.03",NA,NA,NA,NA,NA,NA,"0"," 60.0","0.011","0.014","0.012","0.009","0.014","0.000","1.95","0.50","1.41","1.70","0.89","0.69","0.020","0.015","0.017","0.023","0.015","0.000","0.010","0.002","0.005","0.005","0.005","0.003","0","23","24","20","0","20"," 58","0","0","0","0","0"
"6","2024-03-22 05:00:00"," 8.22"," 2.27",NA," 1.31","24.12"," 7.66",NA," 6.97","12.53","13.18","13.45","32.24"," 9.93",NA," 8.26","0.65","1.87",NA,"1.53","1.29","0.81","0.42","11.34","26.40",NA,"29.26","19.78","15.70","14.67"," 2.01"," 6.35",NA," 3.47"," 3.13"," 5.33","1.68","15.33",NA,NA,"12.25","14.63",NA,"16.02",NA,NA,NA,"28.68","34.78","37.78","44.43",NA,NA,NA,"16.98","17.12","17.25","14.79",NA,"0",NA,"297.77","235.95","196.9","119.20",NA,"0",NA,"1.37",NA,"1.81","0.72",NA,NA,NA,"815.82","816.70","814.79","612.32","0.03",NA,NA,NA,NA,NA,NA,"0"," 38.0","0.008","0.013","0.013","0.007","0.013","0.000","1.93","0.49","1.38","1.66","0.88","0.67","0.026","0.015","0.020","0.029","0.016","0.000","0.010","0.002","0.005","0.004","0.005","0.003","0","20","20","16","0","19"," 48","0","0","0","0","0"
"7","2024-03-22 06:00:00","22.08"," 2.35",NA," 1.85","30.35"," 9.85",NA," 9.04","16.39","16.03","22.96","52.30","12.21",NA,"10.86","0.86","1.88",NA,"1.54","1.28","0.86","0.47"," 4.64","25.91",NA,"25.37","16.80","13.64"," 7.40"," 2.23"," 8.96",NA," 2.71"," 2.64"," 5.94","2.05","12.93",NA,NA," 7.76","10.60",NA,"15.05",NA,NA,NA,"29.91","34.54","36.75","44.82",NA,NA,NA,"16.10","16.65","16.65","13.82",NA,"0",NA,"291.26","235.88","191.4","113.44",NA,"0",NA,"1.45",NA,"2.62","0.80",NA,NA,NA,"816.26","817.03","815.15","611.79","0.03",NA,NA,NA,NA,NA,NA,"0"," 26.5","0.010","0.023","0.016","0.009","0.016","0.000","1.92","0.49","1.37","1.63","0.87","0.66","0.026","0.007","0.017","0.025","0.014","0.000","0.010","0.002","0.004","0.004","0.005","0.003","0","17","15","12","0","18"," 37","0","0","0","0","0"
"8","2024-03-22 07:00:00","61.42"," 7.34",NA," 9.15","32.41","17.21",NA,"17.18","30.31","23.44","25.34","93.60","24.55",NA,"26.25","1.17","2.05",NA,"1.73","1.46","1.09","0.81"," 2.34","12.26",NA,"12.26"," 4.82"," 7.75"," 4.55"," 2.70","18.70",NA," 5.37"," 7.44"," 6.50","2.21","12.60",NA,NA," 4.97"," 9.64",NA,"15.35",NA,NA,NA,"32.33","37.35","37.22","47.85",NA,NA,NA,"15.08","15.74","16.29","13.11",NA,"0",NA,"280.74","248.64","169.6","124.80",NA,"0",NA,"0.60",NA,"3.36","0.70",NA,NA,NA,"816.61","817.50","815.48","612.75","0.03",NA,NA,NA,NA,NA,NA,"0"," 33.9","0.017","0.025","0.030","0.017","0.023","0.000","1.93","0.52","1.37","1.63","0.89","0.68","0.012","0.005","0.005","0.012","0.008","0.000","0.010","0.002","0.005","0.004","0.005","0.003","0","16","12"," 9","0","15"," 36","0","0","0","0","0"
"9","2024-03-22 08:00:00","36.56","15.76",NA,"33.20","25.79","17.51",NA,"22.80","25.34","20.07","23.46","62.16","33.27",NA,"55.86","1.16","2.15",NA,"2.31","1.57","1.12","0.86","10.62","12.42",NA," 6.53"," 8.29","12.31"," 7.43"," 2.64","25.09",NA," 6.73","13.14"," 7.28","2.63","16.94",NA,NA," 8.22","15.03",NA,"24.48",NA,NA,NA,"31.46","36.09","33.79","41.44",NA,NA,NA,"16.14","16.07","17.29","16.54",NA,"0",NA," 88.66","243.12","172.7","138.77",NA,"0",NA,"0.09",NA,"3.73","0.71",NA,NA,NA,"817.07","817.87","815.73","613.73","0.03",NA,NA,NA,NA,NA,NA,"0"," 60.9","0.018","0.023","0.025","0.023","0.020","0.000","1.95","0.56","1.39","1.71","0.92","0.75","0.012","0.007","0.008","0.007","0.012","0.000","0.011","0.002","0.005","0.004","0.005","0.003","0","20","14"," 8","0","14"," 48","0","0","0","0","0"
"10","2024-03-22 09:00:00","18.55"," 9.18",NA,"18.56","16.37","11.30",NA,"16.40","21.51","16.95","17.50","34.83","20.48",NA,"34.86","0.88","1.99",NA,"2.06","1.51","1.01","0.56","26.83","25.54",NA,"17.60","14.31","17.23","16.36"," 2.93","38.65",NA,"11.42","11.12"," 9.40","4.43","21.35",NA,NA,"23.42","12.48",NA,"27.92",NA,NA,NA,"27.23","32.82","30.33","32.31",NA,NA,NA,"18.67","17.54","18.93","19.69",NA,"0",NA,"243.80","221.21","194.4","213.85",NA,"0",NA,"0.33",NA,"3.48","1.14",NA,NA,NA,"817.32","818.03","815.97","619.81","0.02",NA,NA,NA,NA,NA,NA,"0"," 69.2","0.011","0.018","0.022","0.016","0.017","0.000","1.96","0.56","1.40","1.76","0.93","0.83","0.026","0.016","0.014","0.018","0.017","0.000","0.011","0.002","0.005","0.005","0.005","0.003","0","24","13","16","0","15"," 59","0","0","0","0","0"
